,date,adj. close,close,vol
507,2011-07-29,97.2652,121.1300,43401699
508,2011-07-22,101.6575,126.6000,28078008
509,2011-07-15,100.0194,124.5600,41131807
510,2011-07-08,101.3977,126.3900,25504072
511,2011-07-01,100.7479,125.5800,27730992
512,2011-06-24,95.6294,119.2000,30803040
513,2011-06-17,96.0627,119.7400,46378691
514,2011-06-10,95.5997,119.3700,26762263
515,2011-06-03,97.1614,121.3200,28543084
516,2011-05-27,99.4919,124.2300,24850259
517,2011-05-20,99.9884,124.8500,45946204
518,2011-05-13,100.5436,125.9600,30831529
519,2011-05-06,100.7910,126.2700,47734446
520,2011-04-29,102.2039,128.0400,39593161
521,2011-04-21,99.6097,124.7900,25761859
522,2011-04-15,98.3325,123.1900,24553592
523,2011-04-08,98.6099,123.6500,31663963
524,2011-04-01,98.4583,123.4600,22357931
525,2011-03-25,97.2621,121.9600,32104693
526,2011-03-18,94.3193,118.2700,57661639
527,2011-03-11,95.8508,120.4200,50409511
528,2011-03-04,96.6866,121.4700,41414053
529,2011-02-25,96.4239,121.1400,42195907
530,2011-02-18,98.3820,123.6000,25806146
531,2011-02-11,97.3894,122.6500,35088167
532,2011-02-04,95.8331,120.6900,32350093
533,2011-01-28,93.7130,118.0200,56475692
534,2011-01-21,94.0624,118.4600,34299142
535,2011-01-14,93.3376,117.6900,28469550
536,2011-01-07,92.4493,116.5700,42862197
537,2010-12-31,91.7038,115.6300,25822894
538,2010-12-23,91.5870,115.7300,18583255
539,2010-12-17,90.9697,114.9500,20441168
540,2010-12-10,90.2407,114.2900,33776896
541,2010-12-03,89.9644,113.9400,32105722
542,2010-11-26,87.3587,110.6400,20043565
543,2010-11-19,88.4405,112.0100,26181158
544,2010-11-12,88.2747,112.1600,34048556
545,2010-11-05,90.1478,114.5400,39295470
546,2010-10-29,87.6057,111.3100,30728564
547,2010-10-22,87.6450,111.3600,31591621
548,2010-10-15,87.1099,110.6800,34169426
549,2010-10-08,86.6278,110.1600,29365216
550,2010-10-01,85.1809,108.3200,35800122
551,2010-09-24,85.3775,108.5700,32106324
552,2010-09-17,83.4115,106.0700,26610477
553,2010-09-10,82.2490,104.7800,17864569
554,2010-09-03,82.0920,104.5800,33814068
555,2010-08-27,79.7371,101.5800,43449424
556,2010-08-20,80.1767,102.1400,35053547
557,2010-08-13,80.8227,103.3500,42665483
558,2010-08-06,83.4347,106.6900,30736869
559,2010-07-30,81.8784,104.7000,49722706
560,2010-07-23,81.5422,104.2700,51037164
561,2010-07-16,78.9927,101.0100,48394237
562,2010-07-09,79.7799,102.1100,39335216
563,2010-07-02,75.6858,96.8700,66685575
564,2010-06-25,79.4752,101.7200,59424148
565,2010-06-18,81.6394,104.4900,44630296
566,2010-06-11,79.7909,102.3100,77736415
567,2010-06-04,77.5526,99.4400,63789641
568,2010-05-28,79.1358,101.4700,97970540
569,2010-05-21,79.4244,101.8400,120399088
570,2010-05-14,82.7567,106.5100,78974101
571,2010-05-07,80.6355,103.7800,115402537
572,2010-04-30,85.5461,110.1000,64802721
573,2010-04-23,86.9912,111.9600,52285376
574,2010-04-16,85.6082,110.1800,40534665
575,2010-04-09,85.4442,110.0600,34310717
576,2010-04-01,84.8386,109.2800,29104477
577,2010-03-26,84.1787,108.4300,43384683
578,2010-03-19,83.3325,107.3400,40145159
579,2010-03-12,82.4595,106.4200,39593690
580,2010-03-05,81.9481,105.7600,30300973
581,2010-02-26,80.0419,103.3000,42764686
582,2010-02-19,80.5766,103.9900,27088715
583,2010-02-12,78.2696,101.2700,64914724
584,2010-02-05,77.4117,100.1600,70755598
585,2010-01-29,77.7131,100.5500,80752448
586,2010-01-22,78.5478,101.6300,69614560
587,2010-01-15,81.9330,106.0100,45387759
588,2010-01-08,82.0103,106.1100,33546202
589,2009-12-31,80.4336,104.0700,19905496
590,2009-12-24,81.1524,105.0000,21250433
591,2009-12-18,79.7148,103.1400,39749461
592,2009-12-11,80.7769,104.9200,44768406
593,2009-12-04,80.0609,103.9900,55496053
594,2009-11-27,79.4373,103.1800,39107118
595,2009-11-20,79.4912,103.2500,35367767
596,2009-11-13,78.9709,102.9100,55063855
597,2009-11-06,77.0218,100.3700,69849466
598,2009-10-30,74.4818,97.0600,90419498
